"","repeat_id","expt","analysis_type","true_base","b_base_lower","b_base_med","b_base_upper","b_base_error","true_sex","b_sex_p_value","b_sex_lower","b_sex_med","b_sex_upper","b_sex_error","true_cond","b_cond_p_value","b_cond_lower","b_cond_med","b_cond_upper","b_cond_error","true_sex_cond","b_sex_cond_p_value","b_sex_cond_lower","b_sex_cond_med","b_sex_cond_upper","b_sex_cond_error","pp_true"
"164",1,44,"pp",0,0.477631754092578,0.530208706369706,0.578720556098751,0.0258225343083864,0,NA,-0.127643169240175,-0.0636492761655197,-0.00364930068442536,0.0316334711479882,0,NA,-0.0357570620109482,0.0240761254727549,0.0849864882223217,0.0301617337722751,2,NA,0.340509684321567,0.364810630132568,0.388755844673557,0.0122450704488061,0
"165",1,45,"pp",0,0.458445485412363,0.508252762305161,0.555945631960398,0.0242947804406371,0,NA,-0.0955333049861403,-0.0390020201385315,0.0169691241799401,0.028460517690146,0,NA,-0.058381523882946,-0.00260288045990874,0.050864083646132,0.0275509867967075,2,NA,0.34049829261954,0.36359135131087,0.387417010830674,0.0123788221036794,1
"166",1,46,"pp",0,0.461887074381181,0.503822497614847,0.545157323647883,0.0218791277733369,0,NA,-0.0756762613352095,-0.0245295397391839,0.024131010887082,0.0254209183796643,0,NA,-0.0409440639051152,0.00673169393793557,0.054178029894933,0.0246207017006026,2,NA,0.341659130522182,0.366506832723166,0.390530506141074,0.0125464547701746,1
"167",1,47,"pp",0,0.482161361417222,0.530352625299772,0.578847151356218,0.024191730691761,0,NA,-0.0380739246115791,0.0181693522607111,0.0736728876455744,0.0283556668540682,0,NA,-0.106385862799435,-0.0504605172700637,0.00600119763284944,0.0285733536632492,2,NA,0.343539802076166,0.368270075044394,0.394236538782363,0.0129985035000903,0
"168",1,48,"pp",0,0.508978347866551,0.556037543407005,0.600944323722764,0.022803675015408,0,NA,-0.0307465794039498,0.0186936595617224,0.0705466548522062,0.0259129525690323,0,NA,-0.12676837589874,-0.0747315000864779,-0.0215930005193634,0.0273450003715195,2,NA,0.341439358201137,0.365034436183061,0.388911987893062,0.0120730658719475,1
"169",1,49,"pp",0,0.460195316677029,0.506316725620158,0.55177772576336,0.0236287188692107,0,NA,-0.0359224189827134,0.0163611236731372,0.0716914634880127,0.02751263965221,0,NA,-0.0745444908011927,-0.0249263745092672,0.0268906267131152,0.0263062865012561,2,NA,0.341699412887886,0.36469827523081,0.387661546435674,0.0118521181466399,0
"170",1,50,"pp",0,0.477834466974073,0.532981456772691,0.589190891855084,0.0277695838936093,0,NA,-0.0606788445250605,0.00388038982245276,0.0658401067821473,0.0329816838413501,0,NA,-0.100135854993735,-0.035602145991446,0.0240287565597635,0.0318103970264616,2,NA,0.342663144946408,0.366490817314638,0.389202596279939,0.0117518665882831,1
"171",1,51,"pp",0,0.485399397440127,0.533112780302125,0.584301784023918,0.0251476642442967,0,NA,-0.074335163639587,-0.01603564578819,0.0419193770840419,0.0291636657609449,0,NA,-0.0854387776717018,-0.0327421429960402,0.0223721490947761,0.0285591956966345,2,NA,0.343120375259374,0.36682081841564,0.389963876574523,0.0117605465367163,0
"172",1,52,"pp",0,0.446902416025771,0.497245816252501,0.552443308452858,0.0276787040015736,0,NA,-0.0275568243902175,0.0325801448849622,0.0919776321001993,0.030674606402765,0,NA,-0.101178841453205,-0.0395260409357352,0.0224258047177681,0.0309382467106212,2,NA,0.346366300044932,0.369439042855565,0.391775026143574,0.0116631772570346,0
"173",1,53,"pp",0,0.392548527341504,0.447794506313728,0.501044319373391,0.0277091073293792,0,NA,-0.00971750160316337,0.0493487877899418,0.107991658471801,0.029823471972657,0,NA,-0.0506862839341982,0.00628413995833598,0.0637492805645838,0.0294359693967713,2,NA,0.34655716122115,0.367076525294679,0.389017059273788,0.0109919906770888,1
"174",1,54,"pp",0,0.468182562100672,0.515704174183752,0.562757518537668,0.024027745370567,0,NA,-0.0403866549302476,0.0107718855034721,0.065370102311809,0.0273627884576856,0,NA,-0.0577459242192668,-0.00318333802818853,0.0497789415469269,0.027370146328719,2,NA,0.346961628176907,0.366353757682484,0.387600199531642,0.0103238015029161,0
"175",1,55,"pp",0,0.485241981541175,0.540849193394606,0.593062043348647,0.0272470897357565,0,NA,-0.0840218933353568,-0.0230635190443668,0.0381864075279787,0.0310806172249135,0,NA,-0.067794017734291,-0.00514195297363721,0.0548329025995896,0.0315239487260015,2,NA,0.346077142501659,0.366480162813156,0.387317713766206,0.0104842879110758,0
"176",1,56,"pp",0,0.452591132916333,0.507730392364924,0.563920507052168,0.028493861405661,0,NA,-0.00955397912305908,0.0541499561573961,0.111434434323582,0.0310689625526208,0,NA,-0.118417180012866,-0.0513368079620011,0.0125764819535116,0.0333821320476444,2,NA,0.342265866993956,0.363583323131099,0.385156123942758,0.0109247891870065,0
"177",1,57,"pp",0,0.456504525796054,0.504754156420618,0.550664707341141,0.0236185033259877,0,NA,-0.0259497386882442,0.0263898308925226,0.0826372958601852,0.0275590467844492,0,NA,-0.0611053030923141,-0.00922095147195988,0.0435161006975071,0.0267318548737757,2,NA,0.344056454239029,0.364943505506983,0.384878321045397,0.0103678926201195,1
"178",1,58,"pp",0,0.425595672448805,0.476149427766301,0.526039130492181,0.0266968865820454,0,NA,-0.0409945152157317,0.0200114444977061,0.0850927898700533,0.0322256238137021,0,NA,-0.0775055969967212,-0.015473258191437,0.0470549434858621,0.0318054840741631,2,NA,0.348950195705021,0.368395529013789,0.389423247387339,0.0103633205270515,1
"179",1,59,"pp",0,0.438039144351073,0.493760932178333,0.549941238080614,0.0280510253456133,0,NA,-0.0731983552905651,-0.00939367406017087,0.0537220722532304,0.0306350892852832,0,NA,-0.0575697992559003,0.000721408284836066,0.0647074364442359,0.030951841384181,2,NA,0.3472464631264,0.366156708736469,0.386942459351998,0.00995066353422932,1
"180",1,60,"pp",0,0.427033651923668,0.490745207968082,0.5512250678093,0.0317742461631758,0,NA,-0.0870722277163725,-0.0178684719780196,0.0635889078798298,0.0379892477630542,0,NA,-0.0309783187938171,0.0420109300618073,0.112503480488605,0.0368800486933333,2,NA,0.344857549918576,0.365094090945366,0.384888631790726,0.0100855146981659,1
